tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method
40;2022;Groupe EDF;EDF group;Grèce;Greece;Éolien;Wind;Électrique;Electric;238.200702;MWe;Nette;Net
41;2022;Groupe EDF;EDF group;Grèce;Greece;Solaire;Solar;Électrique;Electric;57.0889702;MWe;Nette;Net
42;2022;Groupe EDF;EDF group;Inde;India;Éolien;Wind;Électrique;Electric;432.1;MWe;Nette;Net
43;2022;Groupe EDF;EDF group;Inde;India;Solaire;Solar;Électrique;Electric;327.675;MWe;Nette;Net
44;2022;Groupe EDF;EDF group;Israël;Israel;Solaire;Solar;Électrique;Electric;295.758535;MWe;Nette;Net
45;2022;Groupe EDF;EDF group;Italie;Italy;Gaz;Gas;Électrique;Electric;4922.56183134383;MWe;Nette;Net
46;2022;Groupe EDF;EDF group;Italie;Italy;Hydraulique;Hydraulic;Électrique;Electric;930.02442704356;MWe;Nette;Net
47;2022;Groupe EDF;EDF group;Italie;Italy;Éolien;Wind;Électrique;Electric;530.178954;MWe;Nette;Net
48;2022;Groupe EDF;EDF group;Italie;Italy;Solaire;Solar;Électrique;Electric;46.05868649832;MWe;Nette;Net
49;2022;Groupe EDF;EDF group;Italie;Italy;Biomasse;Biomass;Électrique;Electric;2.9034396;MWe;Nette;Net
50;2022;Groupe EDF;EDF group;Italie;Italy;Fioul;Fioul;Chaleur;Heat;4.8108867;MWth;Nette;Net
51;2022;Groupe EDF;EDF group;Italie;Italy;Gaz;Gas;Chaleur;Heat;2751.01588231921;MWth;Nette;Net
52;2022;Groupe EDF;EDF group;Italie;Italy;Autres ENR;Other Renewable Energies;Chaleur;Heat;27.1045998;MWth;Nette;Net
53;2022;Groupe EDF;EDF group;Italie;Italy;Divers;Various;Chaleur;Heat;48.68217;MWth;Nette;Net
54;2022;Groupe EDF;EDF group;Mexique;Mexico;Éolien;Wind;Électrique;Electric;162.0;MWe;Nette;Net
55;2022;Groupe EDF;EDF group;Mexique;Mexico;Solaire;Solar;Électrique;Electric;119.6;MWe;Nette;Net
56;2022;Groupe EDF;EDF group;Pologne;Poland;Charbon;Coal;Électrique;Electric;11.6604;MWe;Nette;Net
57;2022;Groupe EDF;EDF group;Pologne;Poland;Fioul;Fioul;Électrique;Electric;0.369778;MWe;Nette;Net
58;2022;Groupe EDF;EDF group;Pologne;Poland;Éolien;Wind;Électrique;Electric;68.0;MWe;Nette;Net
59;2022;Groupe EDF;EDF group;Pologne;Poland;Divers;Various;Électrique;Electric;18.668792;MWe;Nette;Net
60;2022;Groupe EDF;EDF group;Pologne;Poland;Charbon;Coal;Chaleur;Heat;627.193551;MWth;Nette;Net
61;2022;Groupe EDF;EDF group;Pologne;Poland;Gaz;Gas;Chaleur;Heat;114.028995;MWth;Nette;Net
62;2022;Groupe EDF;EDF group;Pologne;Poland;Divers;Various;Chaleur;Heat;69.958;MWth;Nette;Net
63;2022;Groupe EDF;EDF group;Suisse;Switzerland;Hydraulique;Hydraulic;Électrique;Electric;121.65684;MWe;Nette;Net
64;2022;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Nucléaire;Nuclear;Électrique;Electric;4706.4;MWe;Nette;Net
65;2022;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Charbon;Coal;Électrique;Electric;1015.0;MWe;Nette;Net
66;2022;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Éolien;Wind;Électrique;Electric;380.758696;MWe;Nette;Net
67;2022;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Solaire;Solar;Électrique;Electric;15.77;MWe;Nette;Net
68;2022;Groupe EDF;EDF group;États-Unis;United States of America;Éolien;Wind;Électrique;Electric;3241.2;MWe;Nette;Net
69;2022;Groupe EDF;EDF group;États-Unis;United States of America;Solaire;Solar;Électrique;Electric;1116.4595;MWe;Nette;Net
70;2022;Groupe EDF;EDF group;Viêt Nam;Vietnam;Gaz;Gas;Électrique;Electric;402.1875;MWe;Nette;Net
71;2022;Groupe EDF;EDF group;Viêt Nam;Vietnam;Solaire;Solar;Électrique;Electric;34.24784;MWe;Nette;Net
72;2022;Groupe EDF;EDF group;Pays-Bas;Netherlands;Gaz;Gas;Électrique;Electric;435.0;MWe;Nette;Net
73;2022;Groupe EDF;EDF group;Chili;Chile;Fioul;Fioul;Électrique;Electric;186.4;MWe;Nette;Net
74;2022;Groupe EDF;EDF group;Chili;Chile;Gaz;Gas;Électrique;Electric;185.05;MWe;Nette;Net
75;2022;Groupe EDF;EDF group;Chili;Chile;Éolien;Wind;Électrique;Electric;87.5;MWe;Nette;Net
76;2022;Groupe EDF;EDF group;Chili;Chile;Solaire;Solar;Électrique;Electric;130.5;MWe;Nette;Net
77;2022;Groupe EDF;EDF group;Laos;Laos;Hydraulique;Hydraulic;Électrique;Electric;432.0;MWe;Nette;Net
78;2022;Groupe EDF;EDF group;Maroc;Morocco;Éolien;Wind;Électrique;Electric;33.93;MWe;Nette;Net
79;2022;Groupe EDF;EDF group;Émirats arabes unis;United Arab Emirates;Solaire;Solar;Électrique;Electric;445.432;MWe;Nette;Net
80;2022;Groupe EDF;EDF group;Égypte;Egypt;Solaire;Solar;Électrique;Electric;80.21495;MWe;Nette;Net
81;2022;Groupe EDF;EDF group;Arabie saoudite;Saudi Arabia;Éolien;Wind;Électrique;Electric;148.512;MWe;Nette;Net
82;2021;Groupe EDF;EDF group;Afrique du Sud;South Africa;Éolien;Wind;Électrique;Electric;73.143;MWe;Nette;Net
83;2021;Groupe EDF;EDF group;Allemagne;Germany;Hydraulique;Hydraulic;Électrique;Electric;75.5;MWe;Nette;Net
84;2021;Groupe EDF;EDF group;Allemagne;Germany;Éolien;Wind;Électrique;Electric;173.335383716856;MWe;Nette;Net
