tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method
206;2020;Groupe EDF;EDF group;Inde;India;Solaire;Solar;Électrique;Electric;99.68;MWe;Nette;Net
207;2020;Groupe EDF;EDF group;Israël;Israel;Solaire;Solar;Électrique;Electric;220.31;MWe;Nette;Net
208;2020;Groupe EDF;EDF group;Italie;Italy;Gaz;Gas;Électrique;Electric;4392.50536726;MWe;Nette;Net
209;2020;Groupe EDF;EDF group;Italie;Italy;Hydraulique;Hydraulic;Électrique;Electric;911.535446778;MWe;Nette;Net
210;2020;Groupe EDF;EDF group;Italie;Italy;Éolien;Wind;Électrique;Electric;432.288814;MWe;Nette;Net
211;2020;Groupe EDF;EDF group;Italie;Italy;Solaire;Solar;Électrique;Electric;79.3291725;MWe;Nette;Net
212;2020;Groupe EDF;EDF group;Italie;Italy;Biomasse;Biomass;Électrique;Electric;2.911806;MWe;Nette;Net
213;2020;Groupe EDF;EDF group;Italie;Italy;Divers;Various;Électrique;Electric;7.11385;MWe;Nette;Net
214;2020;Groupe EDF;EDF group;Italie;Italy;Fioul;Fioul;Chaleur;Heat;4.4827;MWth;Nette;Net
215;2020;Groupe EDF;EDF group;Italie;Italy;Gaz;Gas;Chaleur;Heat;2137.5589285;MWth;Nette;Net
216;2020;Groupe EDF;EDF group;Italie;Italy;Autres ENR;Other Renewable Energies;Chaleur;Heat;31.567953;MWth;Nette;Net
217;2020;Groupe EDF;EDF group;Italie;Italy;Divers;Various;Chaleur;Heat;48.82245;MWth;Nette;Net
218;2020;Groupe EDF;EDF group;Mexique;Mexico;Éolien;Wind;Électrique;Electric;162.0;MWe;Nette;Net
219;2020;Groupe EDF;EDF group;Mexique;Mexico;Solaire;Solar;Électrique;Electric;119.6;MWe;Nette;Net
220;2020;Groupe EDF;EDF group;Pologne;Poland;Charbon;Coal;Électrique;Electric;11.694;MWe;Nette;Net
221;2020;Groupe EDF;EDF group;Pologne;Poland;Fioul;Fioul;Électrique;Electric;0.369778;MWe;Nette;Net
222;2020;Groupe EDF;EDF group;Pologne;Poland;Gaz;Gas;Électrique;Electric;15.870472;MWe;Nette;Net
223;2020;Groupe EDF;EDF group;Pologne;Poland;Divers;Various;Électrique;Electric;15.870472;MWe;Nette;Net
224;2020;Groupe EDF;EDF group;Pologne;Poland;Charbon;Coal;Chaleur;Heat;708.557095;MWth;Nette;Net
225;2020;Groupe EDF;EDF group;Pologne;Poland;Gaz;Gas;Chaleur;Heat;112.018775;MWth;Nette;Net
226;2020;Groupe EDF;EDF group;Pologne;Poland;Divers;Various;Chaleur;Heat;74.955;MWth;Nette;Net
227;2020;Groupe EDF;EDF group;Portugal;Portugal;Éolien;Wind;Électrique;Electric;204.94;MWe;Nette;Net
228;2020;Groupe EDF;EDF group;Suisse;Switzerland;Hydraulique;Hydraulic;Électrique;Electric;122.0074;MWe;Nette;Net
229;2020;Groupe EDF;EDF group;Turquie;Turkey;Éolien;Wind;Électrique;Electric;279.5;MWe;Nette;Net
230;2020;Groupe EDF;EDF group;Turquie;Turkey;Solaire;Solar;Électrique;Electric;18.2;MWe;Nette;Net
231;2020;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Nucléaire;Nuclear;Électrique;Electric;7138.4;MWe;Nette;Net
232;2020;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Charbon;Coal;Électrique;Electric;1987.0;MWe;Nette;Net
233;2020;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Gaz;Gas;Électrique;Electric;1333.0;MWe;Nette;Net
234;2020;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Éolien;Wind;Électrique;Electric;386.41;MWe;Nette;Net
235;2020;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Biomasse;Biomass;Électrique;Electric;3.9976;MWe;Nette;Net
236;2020;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Divers;Various;Électrique;Electric;3.9976;MWe;Nette;Net
237;2020;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Autres ENR;Other Renewable Energies;Chaleur;Heat;14.991;MWth;Nette;Net
238;2020;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Divers;Various;Chaleur;Heat;14.991;MWth;Nette;Net
239;2020;Groupe EDF;EDF group;États-Unis;United States of America;Nucléaire;Nuclear;Électrique;Electric;2020.0959;MWe;Nette;Net
240;2020;Groupe EDF;EDF group;États-Unis;United States of America;Éolien;Wind;Électrique;Electric;3154.35;MWe;Nette;Net
241;2020;Groupe EDF;EDF group;États-Unis;United States of America;Solaire;Solar;Électrique;Electric;635.66;MWe;Nette;Net
242;2020;Groupe EDF;EDF group;Viêt Nam;Vietnam;Gaz;Gas;Électrique;Electric;402.1875;MWe;Nette;Net
243;2020;Groupe EDF;EDF group;Pays-Bas;Netherlands;Gaz;Gas;Électrique;Electric;435.0;MWe;Nette;Net
244;2020;Groupe EDF;EDF group;Chili;Chile;Fioul;Fioul;Électrique;Electric;186.375;MWe;Nette;Net
245;2020;Groupe EDF;EDF group;Chili;Chile;Gaz;Gas;Électrique;Electric;184.83;MWe;Nette;Net
246;2020;Groupe EDF;EDF group;Chili;Chile;Éolien;Wind;Électrique;Electric;57.5;MWe;Nette;Net
247;2020;Groupe EDF;EDF group;Chili;Chile;Solaire;Solar;Électrique;Electric;130.5;MWe;Nette;Net
248;2020;Groupe EDF;EDF group;Laos;Laos;Hydraulique;Hydraulic;Électrique;Electric;432.0;MWe;Nette;Net
249;2020;Groupe EDF;EDF group;Maroc;Morocco;Autres ENR;Other Renewable Energies;Chaleur;Heat;1.2541815;MWth;Nette;Net
250;2020;Groupe EDF;EDF group;Émirats arabes unis;United Arab Emirates;Solaire;Solar;Électrique;Electric;170.43;MWe;Nette;Net
251;2020;Groupe EDF;EDF group;Égypte;Egypt;Solaire;Solar;Électrique;Electric;65.19;MWe;Nette;Net
252;2019;Groupe EDF;EDF group;Afrique du Sud;South Africa;Éolien;Wind;Électrique;Electric;55.76;MWe;Nette;Net
253;2019;Groupe EDF;EDF group;Allemagne;Germany;Éolien;Wind;Électrique;Electric;185.34;MWe;Nette;Net
254;2019;Groupe EDF;EDF group;Belgique;Belgium;Nucléaire;Nuclear;Électrique;Electric;768.21655;MWe;Nette;Net
255;2019;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Électrique;Electric;828.91314;MWe;Nette;Net
256;2019;Groupe EDF;EDF group;Belgique;Belgium;Hydraulique;Hydraulic;Électrique;Electric;45.851703;MWe;Nette;Net
257;2019;Groupe EDF;EDF group;Belgique;Belgium;Éolien;Wind;Électrique;Electric;358.370352;MWe;Nette;Net
258;2019;Groupe EDF;EDF group;Belgique;Belgium;Solaire;Solar;Électrique;Electric;1.159462672;MWe;Nette;Net
259;2019;Groupe EDF;EDF group;Belgique;Belgium;Fioul;Fioul;Chaleur;Heat;10.01998;MWth;Nette;Net
260;2019;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Chaleur;Heat;36.71705;MWth;Nette;Net
261;2019;Groupe EDF;EDF group;Brésil;Brazil;Gaz;Gas;Électrique;Electric;936.9185;MWe;Nette;Net
262;2019;Groupe EDF;EDF group;Brésil;Brazil;Hydraulique;Hydraulic;Électrique;Electric;204.9588;MWe;Nette;Net
263;2019;Groupe EDF;EDF group;Brésil;Brazil;Éolien;Wind;Électrique;Electric;182.0;MWe;Nette;Net
264;2019;Groupe EDF;EDF group;Brésil;Brazil;Solaire;Solar;Électrique;Electric;199.26;MWe;Nette;Net
265;2019;Groupe EDF;EDF group;Canada;Canada;Éolien;Wind;Électrique;Electric;618.44;MWe;Nette;Net
266;2019;Groupe EDF;EDF group;Canada;Canada;Solaire;Solar;Électrique;Electric;42.4;MWe;Nette;Net
267;2019;Groupe EDF;EDF group;République populaire de Chine;China;Nucléaire;Nuclear;Électrique;Electric;1050.0;MWe;Nette;Net
268;2019;Groupe EDF;EDF group;République populaire de Chine;China;Charbon;Coal;Électrique;Electric;1999.76;MWe;Nette;Net
269;2019;Groupe EDF;EDF group;République populaire de Chine;China;Éolien;Wind;Électrique;Electric;102.61;MWe;Nette;Net
270;2019;Groupe EDF;EDF group;République populaire de Chine;China;Solaire;Solar;Électrique;Electric;79.12;MWe;Nette;Net
271;2019;Groupe EDF;EDF group;Espagne;Spain;Gaz;Gas;Électrique;Electric;5.06211821;MWe;Nette;Net
272;2019;Groupe EDF;EDF group;Espagne;Spain;Solaire;Solar;Électrique;Electric;0.087695255;MWe;Nette;Net
273;2019;Groupe EDF;EDF group;Espagne;Spain;Gaz;Gas;Chaleur;Heat;81.95122067;MWth;Nette;Net
274;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Nucléaire;Nuclear;Électrique;Electric;63130.0;MWe;Nette;Net
275;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Électrique;Electric;1757.5758;MWe;Nette;Net
276;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Électrique;Electric;4032.64770602;MWe;Nette;Net
277;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Électrique;Electric;3328.83927;MWe;Nette;Net
278;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Hydraulique;Hydraulic;Électrique;Electric;20547.6268578;MWe;Nette;Net
279;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Géothermie;Geothermal;Électrique;Electric;0.8864;MWe;Nette;Net
280;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Éolien;Wind;Électrique;Electric;1503.26576;MWe;Nette;Net
281;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Solaire;Solar;Électrique;Electric;260.29741904;MWe;Nette;Net
282;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Biomasse;Biomass;Électrique;Electric;230.824776;MWe;Nette;Net
283;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Énergie marine;Marine energy;Électrique;Electric;240.0;MWe;Nette;Net
284;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Divers;Various;Électrique;Electric;58.235038;MWe;Nette;Net
285;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Chaleur;Heat;140.935388;MWth;Nette;Net
286;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Chaleur;Heat;926.463788;MWth;Nette;Net
287;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Chaleur;Heat;20157.678132;MWth;Nette;Net
288;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Autres ENR;Other Renewable Energies;Chaleur;Heat;2441.173142;MWth;Nette;Net
289;2019;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Divers;Various;Chaleur;Heat;6277.221406;MWth;Nette;Net
290;2019;Groupe EDF;EDF group;Grèce;Greece;Gaz;Gas;Électrique;Electric;394.6773725;MWe;Nette;Net
291;2019;Groupe EDF;EDF group;Grèce;Greece;Éolien;Wind;Électrique;Electric;238.2;MWe;Nette;Net
292;2019;Groupe EDF;EDF group;Grèce;Greece;Solaire;Solar;Électrique;Electric;12.09;MWe;Nette;Net
293;2019;Groupe EDF;EDF group;Inde;India;Éolien;Wind;Électrique;Electric;176.5;MWe;Nette;Net
294;2019;Groupe EDF;EDF group;Inde;India;Solaire;Solar;Électrique;Electric;99.68;MWe;Nette;Net
295;2019;Groupe EDF;EDF group;Israël;Israel;Solaire;Solar;Électrique;Electric;192.5;MWe;Nette;Net
296;2019;Groupe EDF;EDF group;Italie;Italy;Gaz;Gas;Électrique;Electric;4455.20464817;MWe;Nette;Net
297;2019;Groupe EDF;EDF group;Italie;Italy;Hydraulique;Hydraulic;Électrique;Electric;911.332341802;MWe;Nette;Net
298;2019;Groupe EDF;EDF group;Italie;Italy;Éolien;Wind;Électrique;Electric;407.222093524;MWe;Nette;Net
299;2019;Groupe EDF;EDF group;Italie;Italy;Solaire;Solar;Électrique;Electric;82.2962580942;MWe;Nette;Net
300;2019;Groupe EDF;EDF group;Italie;Italy;Divers;Various;Électrique;Electric;7.11385;MWe;Nette;Net
301;2019;Groupe EDF;EDF group;Italie;Italy;Gaz;Gas;Chaleur;Heat;2176.458045;MWth;Nette;Net
302;2019;Groupe EDF;EDF group;Italie;Italy;Autres ENR;Other Renewable Energies;Chaleur;Heat;26.79875;MWth;Nette;Net
303;2019;Groupe EDF;EDF group;Italie;Italy;Divers;Various;Chaleur;Heat;48.82245;MWth;Nette;Net
304;2019;Groupe EDF;EDF group;Mexique;Mexico;Éolien;Wind;Électrique;Electric;229.5;MWe;Nette;Net
305;2019;Groupe EDF;EDF group;Mexique;Mexico;Solaire;Solar;Électrique;Electric;119.6;MWe;Nette;Net
306;2019;Groupe EDF;EDF group;Pologne;Poland;Charbon;Coal;Électrique;Electric;11.694;MWe;Nette;Net
307;2019;Groupe EDF;EDF group;Pologne;Poland;Fioul;Fioul;Électrique;Electric;0.369778;MWe;Nette;Net
308;2019;Groupe EDF;EDF group;Pologne;Poland;Gaz;Gas;Électrique;Electric;15.870472;MWe;Nette;Net
309;2019;Groupe EDF;EDF group;Pologne;Poland;Divers;Various;Électrique;Electric;15.870472;MWe;Nette;Net
310;2019;Groupe EDF;EDF group;Pologne;Poland;Charbon;Coal;Chaleur;Heat;827.543545;MWth;Nette;Net
311;2019;Groupe EDF;EDF group;Pologne;Poland;Gaz;Gas;Chaleur;Heat;0.925775;MWth;Nette;Net
312;2019;Groupe EDF;EDF group;Pologne;Poland;Divers;Various;Chaleur;Heat;74.955;MWth;Nette;Net
313;2019;Groupe EDF;EDF group;Portugal;Portugal;Éolien;Wind;Électrique;Electric;204.97;MWe;Nette;Net
314;2019;Groupe EDF;EDF group;Suisse;Switzerland;Hydraulique;Hydraulic;Électrique;Electric;122.0074;MWe;Nette;Net
315;2019;Groupe EDF;EDF group;Turquie;Turkey;Éolien;Wind;Électrique;Electric;267.41;MWe;Nette;Net
316;2019;Groupe EDF;EDF group;Turquie;Turkey;Solaire;Solar;Électrique;Electric;18.2;MWe;Nette;Net
317;2019;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Nucléaire;Nuclear;Électrique;Electric;7138.4;MWe;Nette;Net
318;2019;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Charbon;Coal;Électrique;Electric;1987.0;MWe;Nette;Net
319;2019;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Gaz;Gas;Électrique;Electric;1333.0;MWe;Nette;Net
320;2019;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Éolien;Wind;Électrique;Electric;384.225;MWe;Nette;Net
321;2019;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Biomasse;Biomass;Électrique;Electric;3.9976;MWe;Nette;Net
322;2019;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Divers;Various;Électrique;Electric;3.9976;MWe;Nette;Net
323;2019;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Divers;Various;Chaleur;Heat;14.991;MWth;Nette;Net
324;2019;Groupe EDF;EDF group;États-Unis;United States of America;Nucléaire;Nuclear;Électrique;Electric;2020.0959;MWe;Nette;Net
325;2019;Groupe EDF;EDF group;États-Unis;United States of America;Éolien;Wind;Électrique;Electric;2855.41;MWe;Nette;Net
326;2019;Groupe EDF;EDF group;États-Unis;United States of America;Solaire;Solar;Électrique;Electric;340.85;MWe;Nette;Net
327;2019;Groupe EDF;EDF group;Viêt Nam;Vietnam;Gaz;Gas;Électrique;Electric;402.1875;MWe;Nette;Net
328;2019;Groupe EDF;EDF group;Pays-Bas;Netherlands;Gaz;Gas;Électrique;Electric;435.0;MWe;Nette;Net
329;2019;Groupe EDF;EDF group;Chili;Chile;Fioul;Fioul;Électrique;Electric;130.895;MWe;Nette;Net
330;2019;Groupe EDF;EDF group;Chili;Chile;Gaz;Gas;Électrique;Electric;185.05;MWe;Nette;Net
331;2019;Groupe EDF;EDF group;Chili;Chile;Éolien;Wind;Électrique;Electric;57.5;MWe;Nette;Net
332;2019;Groupe EDF;EDF group;Chili;Chile;Solaire;Solar;Électrique;Electric;130.5;MWe;Nette;Net
333;2019;Groupe EDF;EDF group;Laos;Laos;Hydraulique;Hydraulic;Électrique;Electric;432.0;MWe;Nette;Net
334;2019;Groupe EDF;EDF group;Émirats arabes unis;United Arab Emirates;Solaire;Solar;Électrique;Electric;105.63;MWe;Nette;Net
335;2019;Groupe EDF;EDF group;Autres pays;Various countries;Solaire;Solar;Électrique;Electric;65.0;MWe;Nette;Net
